Time,theta_0,theta_1,theta_2
1745022310.2812028,-0.01559562049806118,-0.0263682771474123,-0.8264857530593872
1745022310.2972283,-0.015560354106128216,-0.02637096308171749,-0.8268676996231079
1745022310.3100705,-0.015515530481934547,-0.0263547133654356,-0.8272154331207275
1745022310.3260608,-0.015459217131137848,-0.02635733038187027,-0.8276023268699646
1745022310.343373,-0.01542061660438776,-0.026353396475315094,-0.8279628753662109
1745022310.3604186,-0.015390664339065552,-0.026336995884776115,-0.8283888101577759
1745022310.375288,-0.015368961729109287,-0.026338156312704086,-0.8287907242774963
1745022310.3948147,-0.015341482125222683,-0.02631300874054432,-0.8291612863540649
1745022310.4084845,-0.015316322445869446,-0.026287628337740898,-0.8295392990112305
1745022310.4236166,-0.015284772962331772,-0.02627776749432087,-0.8299083113670349
1745022310.4404297,-0.015252764336764812,-0.02626456506550312,-0.8302810192108154
1745022310.457274,-0.015246828086674213,-0.026251548901200294,-0.8306599855422974
1745022310.4726417,-0.01522145513445139,-0.026249518617987633,-0.8310099840164185
1745022310.4864671,-0.015202636830508709,-0.0262307059019804,-0.8313778638839722
1745022310.505372,-0.015176543034613132,-0.026201119646430016,-0.8317321538925171
1745022310.52143,-0.015145691111683846,-0.02619391679763794,-0.8321468830108643
1745022310.5384583,-0.015139240771532059,-0.026177937164902687,-0.8325728178024292
1745022310.551644,-0.015112616121768951,-0.026164723560214043,-0.8329734802246094
1745022310.568223,-0.015072612091898918,-0.026165347546339035,-0.83338862657547
1745022310.5833206,-0.015060743317008018,-0.02614179253578186,-0.8338040113449097
1745022310.5985832,-0.015032078139483929,-0.026128917932510376,-0.834222137928009
1745022310.6152449,-0.015012108720839024,-0.026117239147424698,-0.8346288204193115
1745022310.6325448,-0.014992830343544483,-0.026109587401151657,-0.835039496421814
1745022310.6464527,-0.014956292696297169,-0.026085810735821724,-0.8354384899139404
1745022310.6643364,-0.014932036399841309,-0.026072446256875992,-0.8358489871025085
1745022310.6788955,-0.014907469041645527,-0.0260763056576252,-0.8362321257591248
1745022310.6972036,-0.014909623190760612,-0.02605937048792839,-0.8365928530693054
1745022310.712418,-0.01486638281494379,-0.02603309415280819,-0.836966335773468
1745022310.7282853,-0.014825877733528614,-0.026019811630249023,-0.837355375289917
1745022310.7437084,-0.014781298115849495,-0.026006627827882767,-0.8377323746681213
1745022310.7592492,-0.014748789370059967,-0.025991851463913918,-0.8381085395812988
1745022310.7754085,-0.0147103201597929,-0.025993365794420242,-0.8384888768196106
1745022310.790438,-0.014676657505333424,-0.02597307413816452,-0.8388407230377197
1745022310.8083827,-0.014636095613241196,-0.02595818229019642,-0.8392474055290222
1745022310.824496,-0.014599427580833435,-0.025935402140021324,-0.839655876159668
1745022310.8385007,-0.014562669210135937,-0.025911999866366386,-0.8400634527206421
1745022310.8557289,-0.014512290246784687,-0.025897448882460594,-0.8404223322868347
1745022310.8728418,-0.014477143995463848,-0.025856034830212593,-0.8407413363456726
1745022310.8887434,-0.014429119415581226,-0.025835653766989708,-0.8410640954971313
1745022310.9058871,-0.01439405046403408,-0.02582133747637272,-0.8413972854614258
1745022310.9223433,-0.014344741590321064,-0.02579846791923046,-0.841793417930603
1745022310.9380114,-0.014296679757535458,-0.02577080763876438,-0.8421554565429688
1745022310.9533086,-0.014260885305702686,-0.025752902030944824,-0.8425209522247314
1745022310.9664164,-0.014223027974367142,-0.025731133297085762,-0.8429635763168335
1745022310.985443,-0.014174154959619045,-0.025701090693473816,-0.8434011936187744
1745022311.001661,-0.014138820581138134,-0.02568201720714569,-0.843796968460083
1745022311.0173755,-0.014112538658082485,-0.025662990286946297,-0.8442158699035645
1745022311.0304348,-0.01408395916223526,-0.02564370073378086,-0.8446044325828552
1745022311.0480824,-0.014049666933715343,-0.025613849982619286,-0.844987154006958
1745022311.0653036,-0.0140171367675066,-0.025599181652069092,-0.8453823328018188
1745022311.080549,-0.013987070880830288,-0.025560764595866203,-0.84578537940979
1745022311.0943296,-0.013957313261926174,-0.02554072067141533,-0.8461894989013672
1745022311.1112854,-0.013935268856585026,-0.02552378736436367,-0.8465908169746399
1745022311.1285136,-0.013927415944635868,-0.025500763207674026,-0.8470115065574646
1745022311.1450064,-0.013910048641264439,-0.025481196120381355,-0.8474276661872864
1745022311.1604373,-0.01389981433749199,-0.025461547076702118,-0.8478204607963562
1745022311.1753135,-0.013897661119699478,-0.025446157902479172,-0.848239541053772
1745022311.1905985,-0.013874606229364872,-0.025423094630241394,-0.8486145734786987
1745022311.2062762,-0.013834968209266663,-0.025426844134926796,-0.8490201234817505
1745022311.2233112,-0.013825155794620514,-0.025410929694771767,-0.8494244813919067
1745022311.2385793,-0.013811020180583,-0.02539921924471855,-0.8498485684394836
1745022311.2556925,-0.013789111748337746,-0.025402408093214035,-0.8502350449562073
1745022311.2739277,-0.01376365590840578,-0.02540256269276142,-0.8506216406822205
1745022311.2892294,-0.0137505317106843,-0.02539086900651455,-0.8509814143180847
1745022311.303268,-0.013743957504630089,-0.02539665251970291,-0.8513444662094116
1745022311.3184986,-0.013712205924093723,-0.025403443723917007,-0.8517618775367737
1745022311.3376002,-0.013705641031265259,-0.025415513664484024,-0.8521260023117065
1745022311.353672,-0.013690232299268246,-0.0254374947398901,-0.8524854183197021
1745022311.368439,-0.013677065260708332,-0.025452082976698875,-0.852910041809082
1745022311.3847082,-0.01366236712783575,-0.02545894868671894,-0.8533272743225098
1745022311.4012218,-0.013644383288919926,-0.025484327226877213,-0.8536950945854187
1745022311.4165928,-0.013627173379063606,-0.02551916241645813,-0.854095995426178
1745022311.4303546,-0.01361853163689375,-0.025545837357640266,-0.8544622659683228
1745022311.4503422,-0.013612107373774052,-0.02557021751999855,-0.8548538088798523
1745022311.464079,-0.01358297374099493,-0.025591600686311722,-0.8552314639091492
1745022311.4791348,-0.01359248161315918,-0.025612836703658104,-0.8556150794029236
1745022311.4955955,-0.013586769811809063,-0.025657305493950844,-0.8559868931770325
1745022311.5106006,-0.013584781438112259,-0.025687089189887047,-0.8563705682754517
1745022311.5264013,-0.013587706722319126,-0.025726288557052612,-0.8567534685134888
1745022311.545936,-0.01358491089195013,-0.02575942501425743,-0.8571254014968872
1745022311.5610375,-0.01358078047633171,-0.0257798470556736,-0.8575223684310913
1745022311.5769265,-0.013595796190202236,-0.02581178955733776,-0.8579356670379639
1745022311.5927854,-0.013599739409983158,-0.025856537744402885,-0.8582617044448853
1745022311.608978,-0.013609727844595909,-0.025882095098495483,-0.8586261868476868
1745022311.6235316,-0.013628512620925903,-0.025926923379302025,-0.8590019941329956
1745022311.6403985,-0.013623400591313839,-0.02595786191523075,-0.8594111204147339
1745022311.655302,-0.013627409934997559,-0.025993630290031433,-0.8598130941390991
1745022311.6734684,-0.013619589619338512,-0.026045184582471848,-0.8601813316345215
1745022311.6882527,-0.013619343750178814,-0.026070402935147285,-0.8606164455413818
1745022311.7054539,-0.013650035485625267,-0.0260931309312582,-0.8610667586326599
1745022311.7219028,-0.013666728511452675,-0.02612399123609066,-0.8614495992660522
1745022311.7372894,-0.01368726696819067,-0.026134584099054337,-0.8618248105049133
1745022311.7534616,-0.013698874972760677,-0.02615378051996231,-0.862205445766449
1745022311.7690473,-0.0137212835252285,-0.026188142597675323,-0.8626200556755066
1745022311.784871,-0.01374917570501566,-0.02620825171470642,-0.8630322813987732
1745022311.7989757,-0.013769496232271194,-0.02626030147075653,-0.8634189963340759
1745022311.8150058,-0.013797571882605553,-0.026290029287338257,-0.8637962937355042
1745022311.830341,-0.01381993480026722,-0.0263262577354908,-0.8641705513000488
1745022311.8502162,-0.013831858523190022,-0.026364844292402267,-0.8645551800727844
1745022311.8634627,-0.0138517115265131,-0.02637476474046707,-0.8649353384971619
1745022311.879117,-0.013882641680538654,-0.0264115110039711,-0.86531001329422
1745022311.897715,-0.013901728205382824,-0.02644449472427368,-0.8657028675079346
1745022311.913256,-0.013899847865104675,-0.026454918086528778,-0.86610347032547
1745022311.9287977,-0.013868743553757668,-0.026493892073631287,-0.8665159940719604
1745022311.9453511,-0.01384016778320074,-0.026528039947152138,-0.8669421672821045
1745022311.9630349,-0.013801475055515766,-0.026557274162769318,-0.8673498630523682
1745022311.974468,-0.013761808164417744,-0.026571478694677353,-0.8677278757095337
1745022311.9926875,-0.013719335198402405,-0.026609620079398155,-0.8681005835533142
1745022312.007126,-0.013688894920051098,-0.02664540708065033,-0.8685364127159119
1745022312.0243692,-0.013663275167346,-0.026664521545171738,-0.8689731955528259
1745022312.0391705,-0.01362677477300167,-0.02668698877096176,-0.8693887591362
1745022312.0553443,-0.01359541341662407,-0.02673463523387909,-0.8697360157966614
1745022312.0724063,-0.013569403439760208,-0.026767322793602943,-0.8700928092002869
1745022312.088612,-0.013527734205126762,-0.026797540485858917,-0.8704677224159241
1745022312.1023328,-0.013507438823580742,-0.02680705115199089,-0.8708527088165283
1745022312.1196609,-0.013488881289958954,-0.026835152879357338,-0.8712690472602844
1745022312.1377041,-0.0134546784684062,-0.026851318776607513,-0.8716493844985962
1745022312.152082,-0.013440556824207306,-0.026865050196647644,-0.8720109462738037
1745022312.1663496,-0.013430388644337654,-0.02688445895910263,-0.8723937273025513
1745022312.1844792,-0.01341337338089943,-0.026908375322818756,-0.8727735877037048
1745022312.2008576,-0.01338471844792366,-0.02693399228155613,-0.873143196105957
1745022312.215439,-0.013377450406551361,-0.026954403147101402,-0.8735057711601257
1745022312.2334027,-0.013354136608541012,-0.02696639858186245,-0.8738495707511902
1745022312.2462764,-0.013342293910682201,-0.026976395398378372,-0.8742215037345886
1745022312.2665908,-0.013343493454158306,-0.026968849822878838,-0.874596893787384
1745022312.2827315,-0.013355565257370472,-0.02698410116136074,-0.8749458193778992
1745022312.2944908,-0.013359451666474342,-0.026999415829777718,-0.8753221035003662
1745022312.310401,-0.013370638713240623,-0.026996564120054245,-0.875641405582428
1745022312.3276255,-0.013377931900322437,-0.02700030617415905,-0.8759954571723938
1745022312.3423595,-0.013377967290580273,-0.02698672004044056,-0.8763405084609985
1745022312.3584569,-0.013354749418795109,-0.026979345828294754,-0.876690149307251
1745022312.3761184,-0.013316751457750797,-0.026964733377099037,-0.877044141292572
1745022312.3912838,-0.01327560469508171,-0.026952488347887993,-0.8773513436317444
1745022312.407197,-0.013254047371447086,-0.026936566457152367,-0.877687931060791
1745022312.4234526,-0.0132294325158,-0.026922084391117096,-0.8780282735824585
